timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
45667,0.02,0.02,0.03,0.04,43.92,31.94,OFF
45768,0.02,0.39,1.03,1.10,34.74,31.94,OFF
45868,0.02,0.38,1.02,1.09,24.16,31.94,OFF
46067,0.02,0.02,0.03,0.04,50.29,31.94,OFF
46168,0.02,0.38,1.03,1.10,30.34,31.94,OFF
46268,0.02,0.38,1.03,1.10,36.92,31.94,OFF
46467,0.02,0.02,0.03,0.04,40.02,31.94,OFF
46568,0.02,0.39,1.03,1.10,21.25,31.94,OFF
46668,0.02,0.38,1.02,1.09,36.21,31.94,OFF
46867,0.02,0.02,0.03,0.04,28.37,31.94,OFF
46968,0.02,0.38,1.03,1.10,28.31,31.94,OFF
47068,0.02,0.38,1.03,1.10,29.08,31.94,OFF
47267,0.02,0.02,0.03,0.04,34.19,31.94,OFF
47368,0.02,0.39,1.03,1.10,43.80,31.94,OFF
47468,0.02,0.39,1.03,1.10,23.61,31.94,OFF
47667,0.02,0.02,0.03,0.04,30.03,31.94,OFF
47768,0.02,0.38,1.03,1.10,26.68,31.94,OFF
47868,0.02,0.38,1.03,1.10,42.57,31.94,OFF
48067,0.02,0.02,0.03,0.04,16.61,31.94,OFF
48168,0.02,0.38,1.03,1.10,24.96,31.94,OFF
48268,0.02,0.38,1.03,1.10,13.27,31.94,OFF
48467,0.02,0.02,0.03,0.04,19.32,31.94,OFF
48568,0.02,0.39,1.03,1.10,20.13,31.94,OFF
48668,0.02,0.39,1.03,1.10,53.88,31.94,OFF
48867,0.02,0.02,0.03,0.04,41.49,31.94,OFF
48968,0.02,0.39,1.03,1.10,26.94,31.94,OFF
49068,0.02,0.38,1.03,1.10,29.06,31.94,OFF
49267,0.02,0.02,0.03,0.04,17.07,31.94,OFF
49368,0.02,0.38,1.03,1.10,30.91,31.94,OFF
49468,0.02,0.38,1.03,1.10,28.23,31.94,OFF
49667,0.02,0.02,0.03,0.04,32.67,31.94,OFF
49768,0.02,0.38,1.03,1.10,17.23,31.94,OFF
49868,0.02,0.38,1.03,1.10,23.82,31.94,OFF
50067,0.02,0.02,0.03,0.04,32.12,31.94,OFF
50168,0.02,0.39,1.02,1.09,31.81,31.94,OFF
50268,0.02,0.39,1.03,1.10,28.30,31.94,OFF
50467,0.02,0.02,0.03,0.04,54.36,31.94,OFF
50568,0.02,0.38,1.03,1.10,35.92,31.94,OFF
50668,0.02,0.39,1.03,1.10,22.17,31.94,OFF
50867,0.02,0.02,0.03,0.04,21.69,31.94,OFF
50968,0.02,0.39,1.03,1.10,49.14,31.94,OFF
51068,0.02,0.39,1.03,1.10,19.95,31.94,OFF
51939,0.02,0.02,0.03,0.04,30.24,31.94,OFF
52038,0.02,0.39,1.03,1.10,20.14,31.94,OFF
52138,0.02,0.39,1.03,1.10,15.83,31.94,OFF
52337,0.02,0.02,0.03,0.04,27.15,31.94,OFF
52438,0.02,0.39,1.03,1.10,56.33,31.94,OFF
52538,0.02,0.38,1.03,1.10,28.95,31.94,OFF
52737,0.02,0.02,0.03,0.04,27.14,31.94,OFF
52838,0.02,0.39,1.03,1.10,21.12,31.94,OFF
52938,0.02,0.38,1.03,1.10,16.32,31.94,OFF
53137,0.02,0.02,0.03,0.04,25.14,31.94,OFF
53238,0.02,0.38,1.03,1.10,30.97,31.94,OFF
53338,0.02,0.38,1.03,1.10,38.90,31.94,OFF
53537,0.02,0.02,0.03,0.04,31.77,31.94,OFF
53638,0.02,0.38,1.03,1.10,58.82,31.94,OFF
53738,0.02,0.38,1.03,1.10,33.12,31.94,OFF
53937,0.02,0.02,0.03,0.04,27.16,31.94,OFF
54038,0.02,0.38,1.02,1.09,40.61,31.94,OFF
54138,0.02,0.38,1.03,1.10,17.78,31.94,OFF
54337,0.02,0.02,0.03,0.04,35.11,31.94,OFF
54438,0.02,0.38,1.03,1.10,37.57,31.94,OFF
54538,0.02,0.38,1.03,1.10,26.91,31.94,OFF
54737,0.02,0.02,0.03,0.04,36.24,31.94,OFF
54838,0.02,0.38,1.02,1.09,20.77,31.94,OFF
54938,0.02,0.39,1.03,1.10,38.14,31.94,OFF
55137,0.02,0.02,0.03,0.04,21.43,31.94,OFF
55238,0.02,0.38,1.03,1.10,30.64,31.94,OFF
55338,0.02,0.38,1.03,1.10,35.04,31.94,OFF
55537,0.02,0.02,0.03,0.04,53.25,31.94,OFF
55638,0.02,0.38,1.03,1.10,34.79,31.94,OFF
55738,0.02,0.38,1.03,1.10,44.56,31.94,OFF
55937,0.02,0.02,0.03,0.04,17.25,31.94,OFF
56038,0.02,0.39,1.03,1.10,30.27,31.94,OFF
56138,0.02,0.38,1.03,1.10,36.76,31.94,OFF
56238,0.02,0.38,1.06,1.13,21.48,31.94,OFF
56437,0.02,0.02,0.03,0.04,47.86,31.94,OFF
56538,0.03,0.38,1.03,1.10,34.03,31.94,OFF
56638,0.02,0.39,1.03,1.10,30.65,31.94,OFF
56837,0.02,0.02,0.03,0.04,36.96,31.94,OFF
56938,0.02,0.38,1.03,1.10,24.77,31.94,OFF
57038,0.02,0.38,1.03,1.10,19.13,31.94,OFF
57237,0.02,0.02,0.03,0.04,39.77,31.94,OFF
57338,0.03,0.38,1.03,1.10,38.10,31.94,OFF
57438,0.02,0.38,1.03,1.09,16.54,31.94,OFF
57637,0.02,0.02,0.03,0.04,24.22,31.94,OFF
57738,0.02,0.39,1.03,1.10,23.96,31.94,OFF
57838,0.02,0.38,1.03,1.10,33.53,31.94,OFF
58037,0.02,0.02,0.03,0.04,35.07,31.94,OFF
58138,0.02,0.39,1.03,1.10,27.50,31.94,OFF
58238,0.02,0.38,1.03,1.10,24.35,31.94,OFF
58437,0.02,0.02,0.03,0.04,45.27,31.94,OFF
58538,0.02,0.39,1.02,1.10,25.84,31.94,OFF
58638,0.02,0.38,1.02,1.09,52.32,31.94,OFF
58837,0.02,0.02,0.03,0.04,22.84,31.94,OFF
58938,0.02,0.38,1.03,1.10,49.02,31.94,OFF
